IDs,smiles,clusters
ZINC000041262102,O=C(O)c1ccnc(-c2ccccc2Cl)c1,28
ZINC000095724139,Cc1cc(Br)ncc1OC2CC2,28
ZINC000065347345,COc1cccc(-c2cnc(Cl)c(C(=O)O)c2)c1,28
ZINC000004384259,COc1cccc2cc(C(=O)O)c(C)nc12,28
ZINC000040448937,CCOC(=O)c1c(Cl)ccnc1Cl,28
ZINC000065459635,COc1ccc(F)c(-c2ncccc2F)c1,28
ZINC000171959706,CNC(=O)[C@@H]1CCC[N@@H+](Cc2nc3ccccc3n2C)C1,29
ZINC000216922738,Cc1nccn1-c2ccccc2CNC(=O)[C@H]3CC[N@H+](C)CC3,29
ZINC000000509320,Cc1ccc2[nH]c3c(c2c1)CN(C(=O)C[N@@H+]4CCC[C@H](C)C4)CC3,29
ZINC000097272356,COCCC[N@@H+]1CC[C@@H](CNC(=O)c2c(C)nc3cc(C)ccn23)C1,29
